#;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
RULE_DISCOVERY;Monster Discovery;;;;;;;;;;;;;;
RULE_GROUP_MYTHOS;Mythos;;;;;;;;;;;;;;
RULE_DISCOVERY_DEFAULT;Default Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_DEFAULT_DESC;Chance of monsters being discovered is at the normal level;;;;;;;;;;;;;;
RULE_DISCOVERY_MORE;Higher Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_MORE_DESC;Monsters are more likely to have their true nature revealed;;;;;;;;;;;;;;
RULE_DISCOVERY_FEWER;Lower Monster Discovery;;;;;;;;;;;;;;
RULE_DISCOVERY_FEWER_DESC;Monsters are less likely to have their true nature revealed;;;;;;;;;;;;;;
RULE_BREEDING;Monster Genetics;;;;;;;;;;;;;;
RULE_BREEDING_DEFAULT;Default Genetics;;;;;;;;;;;;;;
RULE_BREEDING_DEFAULT_DESC;Race traits have the normal chance of being passed on;;;;;;;;;;;;;;
RULE_BREEDING_MORE;Stronger Genetics;;;;;;;;;;;;;;
RULE_BREEDING_MORE_DESC;Race traits are more likely to be passed on;;;;;;;;;;;;;;
RULE_BREEDING_FEWER;Weaker Genetics;;;;;;;;;;;;;;
RULE_BREEDING_FEWER_DESC;Race traits are less likely to be passed on;;;;;;;;;;;;;;
EDUCATION_FOCUS_MAGIC;Education Focus: Magic;;;;;;;;;;;;;x;
CHILDHOOD_FOCUS_MAGIC;Childhood Focus: Magic;;;;;;;;;;;;;x;
String_spirit;spirit;;;;;;;;;;;;;;
String_human;human;;;;;;;;;;;;;;
String_dragon;dragon;;;;;;;;;;;;;;
String_dragonborn;dragonborn;;;;;;;;;;;;;;
String_vampire;vampire;;;;;;;;;;;;;;
String_werewolf;werewolf;;;;;;;;;;;;;;
String_giant;giant;;;;;;;;;;;;;;
String_half_giant;half-giant;;;;;;;;;;;;;;
String_god;god;;;;;;;;;;;;;;
String_demi_god;demigod;;;;;;;;;;;;;;
String_zombie;revenant;;;;;;;;;;;;;;
String_mummy;mummy;;;;;;;;;;;;;;
String_djinn;djinn;;;;;;;;;;;;;;
String_demon;demon;;;;;;;;;;;;;;
String_dread_plague;the plague of undeath;;;;;;;;;;;;;;
String_claws;claws;;;;;;;;;;;;;;
String_hands;hands;;;;;;;;;;;;;;
String_claws_cap;Claws;;;;;;;;;;;;;;
String_hands_cap;Hands;;;;;;;;;;;;;;
String_claw;claw;;;;;;;;;;;;;;
String_hand;hand;;;;;;;;;;;;;;
String_claw_cap;Claw;;;;;;;;;;;;;;
String_hand_cap;Hand;;;;;;;;;;;;;;
NOT_CONSIDERING_MAJOR_DECISIONS;Is not already considering a major decision;;;;;;;;;;;;;;
slay_monster_desc;Raise your army against lands ruled by a monster to free their people.;;;;;;;;;;;;;;
CB_NAME_SLAY_MONSTER;Destroy Monster;;;;;;;;;;;;;;
WAR_NAME_SLAY_MONSTER;$ORDER$$FIRST_ADJ$ Monster Purge of $OTHER_TITLE$;;;;;;;;;;;;;;
dragon_tribal_tribute_cb_desc;Seize the target realm's wealth and make them your tributary forcing them to pay you 40% of their monthly income in tribute to you.;;;;;;;;;;;;;;
CB_NAME_DRAGON_TRIBUTARY;Draconic Tribute;;;;;;;;;;;;;;
WAR_NAME_DRAGON_TRIBUTARY;$ORDER$$FIRST_ADJ$ war to seize the wealth of $DEFENDER$;;;;;;;;;;;;;;
dragon_tribute_vassalize_desc;Dragon tribes are able to forcefully vassalize their tributaries, once the money is no longer good enough;;;;;;;;;;;;;;
CB_NAME_DRAGON_TRIBUTARY_VASSALIZE;Vassalize Tribute;;;;;;;;;;;;;;
WAR_NAME_DRAGON_TRIBUTARY_VASSALIZE;$ORDER$$FIRST_ADJ$ war to vassalize $OTHER_TITLE$;;;;;;;;;;;;;;
break_draconic_tribute_desc;Forcefully end the extortion of your realm by the nearby dragons;;;;;;;;;;;;;;
CB_NAME_FREE_DRAGON_TRIBUTARY;Break Draconic Tribute;;;;;;;;;;;;;;
WAR_NAME_FREE_DRAGON_TRIBUTARY;$ORDER$$FIRST_ADJ$ war to cease tribute to $OTHER_TITLE$;;;;;;;;;;;;;;
gain_half_wealth;Take half of target's wealth.;;;;;;;;;;;;;;
cb_force_heir_desc;Force liege to declare a new heir;;;;;;;;;;;;;;
CB_NAME_FORCE_HEIR;Force New Heir;;;;;;;;;;;;;;
WAR_NAME_FORCE_HEIR;$ORDER$$FIRST_ADJ$ war to change successor to $DEFENDER$;;;;;;;;;;;;;;
cb_seize_flame_desc;Seize the site of an extinguished Eternal Flame;;;;;;;;;;;;;;
CB_NAME_SEIZE_FLAME;Seize Eternal Flame;;;;;;;;;;;;;;
WAR_NAME_SEIZE_FLAME;$ORDER$$FIRST_ADJ$ war to seize the Eternal Flame at $OTHER_TITLE$;;;;;;;;;;;;;;
cb_replace_sapphire_flame;Purity;;;;;;;;;;;;;;
cb_replace_sapphire_flame_desc;Replace the impure Sapphire Flame with a more deserving holder;;;;;;;;;;;;;;
CB_NAME_REPLACE_SAPPHIRE_FLAME;Replace Impure Flame;;;;;;;;;;;;;;
WAR_NAME_REPLACE_SAPPHIRE_FLAME;$ORDER$$FIRST_ADJ$ war to purify the Sapphire Flame;;;;;;;;;;;;;;
vassalize_tribute;Vassalize Tribute;;;;;;;;;;;;;;
vassalize_tribute_desc;Force a draconic tribute to become your vassal;;;;;;;;;;;;;;
vassalize_draconic_tribute;Vassalize Tribute;;;;;;;;;;;;;;
vassalize_draconic_tribute_desc;Force a draconic tribute to become your vassal;;;;;;;;;;;;;;
CB_NAME_VASSALIZE_DRACONIC_TRIBUTE;Vassalize Tribute;;;;;;;;;;;;;;
WAR_NAME_VASSALIZE_DRACONIC_TRIBUTE;$ORDER$$FIRST_ADJ$ war to force vassalization of to $OTHER_TITLE$;;;;;;;;;;;;;;
CB_NAME_MONSTER_HUNTER_UPRISING;Monster Hunter Uprising;;;;;;;;;;;;;;
WAR_NAME_MONSTER_HUNTER_UPRISING;$ORDER$ monster hunter revolt against $DEFENDER$;;;;;;;;;;;;;;
MONSTER_REVOLT;[Root.County.GetAdjective] Monster Hunter Uprising;;;;;;;;;;;;;;
cb_reclaim_defaulted_loan;Reclaim Gold;;;;;;;;;;;;;;
cb_reclaim_defaulted_loan_desc;Reclaim the gold from a stolen loan;;;;;;;;;;;;;;
CB_NAME_RECLAIM_DEFAULTED_LOAN;Reclaim Gold;;;;;;;;;;;;;;
WAR_NAME_RECLAIM_DEFAULTED_LOAN;$ORDER$$FIRST_ADJ$ war to force $DEFENDER$ to repay defaulted loan;;;;;;;;;;;;;;
liege_higher_purity_flame;You have higher Purity than the Sapphire Flame;;;;;;;;;;;;;;
priest_higher_purity_flame;One of your draconic vassal Flames has higher Purity than the Sapphire Flame;;;;;;;;;;;;;;
deposed_impure_flame;Deposed Impure Flame;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_NAME;Draconic Tribute;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_PLURAL;Draconic Tributes;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_SUZERAIN;Dragon Overlord;;;;;;;;;;;;;;
DRACONIC_TRIBUTE_TRIBUTARY;Draconic Tributary;;;;;;;;;;;;;;
gold_not_spent;This gold will not be spent.;;;;;;;;;;;;;;
nick_hell_duke;Duke of Hell;;;;;;;;;;;;;;
nick_the_flame_keeper;the Flame Keeper;;;;;;;;;;;;;;
nick_the_everburning;the Everburning;;;;;;;;;;;;;;
nick_the_young_wolf;the Young Wolf;;;;;;;;;;;;;;
nick_wolf_blooded;the Wolf-blooded;;;;;;;;;;;;;;
nick_wolf_bane;Wolf-bane;;;;;;;;;;;;;;
nick_the_undead;the Undead;;;;;;;;;;;;;;
nick_dragonbane;Dragonbane;;;;;;;;;;;;;;
nick_blackadder;the Black Adder;;;;;;;;;;;;;;
nick_the_immigrant;the Immigrant;;;;;;;;;;;;;;
nick_the_bloody;the Bloody;;;;;;;;;;;;;;
nick_the_martyr;the Martyr;;;;;;;;;;;;;;
nick_evil_gods_tool;[nickname_target.Religion.GetRandomEvilGodNameCap]'s Tool;;;;;;;;;;;;;;
nick_the_pot_belly;the Pot-Belly;;;;;;;;;;;;;;
nick_the_fugitive;the Fugitive;;;;;;;;;;;;;;
nick_the_slobberer;the Slobberer;;;;;;;;;;;;;;
nick_the_red_title;the Red [Root.PrimaryTitle.GetTitle];;;;;;;;;;;;;;
nick_the_purple_born;the Purple-Born;;;;;;;;;;;;;;
nick_the_posthumous;the Posthumous;;;;;;;;;;;;;;
nick_the_grim;the Grim;;;;;;;;;;;;;;
nick_the_tyrant;the Tyrant;;;;;;;;;;;;;;
nick_the_judge_of_culture;the Judge of [nickname_target.Culture.GetName];;;;;;;;;;;;;;
nick_the_unifier;the Unifier;;;;;;;;;;;;;;
nick_the_small;the Small;;;;;;;;;;;;;;
nick_the_rich;the Rich;;;;;;;;;;;;;;
nick_the_warlike;the Warlike;;;;;;;;;;;;;;
nick_the_supicious;the Suspicious;;;;;;;;;;;;;;
nick_the_distrustful;the Distrustful;;;;;;;;;;;;;;
nick_the_sacrificer;the Sacrificer;;;;;;;;;;;;;;
nick_the_sleeper;the Sleeper;;;;;;;;;;;;;;
nick_the_warrior_queen;the Warrior-[Root.PrimaryTitle.GetTitle];;;;;;;;;;;;;;
nick_the_playboy_king;the Playboy [Root.PrimaryTitle.GetTitle];;;;;;;;;;;;;;
nick_jezebel;Jezebel;;;;;;;;;;;;;;
nick_the_barren;the Barren;;;;;;;;;;;;;;
nick_monkey_face;Monkey-Face;;;;;;;;;;;;;;
nick_the_peasant_king;the Peasant [Root.PrimaryTitle.GetTitle];;;;;;;;;;;;;;
nick_the_charmer_of_europe;the Charmer of Europe;;;;;;;;;;;;;;
nick_the_book_lover;the Book-Lover;;;;;;;;;;;;;;
nick_the_child_ruler;the Child [Root.PrimaryTitle.GetTitle];;;;;;;;;;;;;;
nick_the_fox;the Fox;;;;;;;;;;;;;;
brew_love_potion;Brew Love Potion;;;;;;;;;;;;;x;
brew_love_potion_desc;Brew a potion for your spouse with which to spice your marriage.;;;;;;;;;;;;;x;
brew_love_potion_targetted;Brew Love Potion;;;;;;;;;;;;;x;
brew_love_potion_targetted_desc;Brew a potion to make someone love you;;;;;;;;;;;;;x;
attempt_alchemy;Attempt Alchemy;;;;;;;;;;;;;x;
attempt_alchemy_desc;Attempt to craft gold from other materials.;;;;;;;;;;;;;x;
summon_ethereal_army;Summon Ethereal Army;;;;;;;;;;;;;x;
summon_ethereal_army_desc;Summon an army of ethereal beings to help you win this war.;;;;;;;;;;;;;x;
cast_aura;Cast Aura;;;;;;;;;;;;;x;
cast_aura_desc;Cast an aura around yourself to make others more agreeable.;;;;;;;;;;;;;x;
NOT_HAS_AURA;Does not currently have an aura;;;;;;;;;;;;;;
summon_servent;Cast Summon Servant;;;;;;;;;;;;;;
summon_servent_desc;Magically summon a servant to aid you;;;;;;;;;;;;;;
summon_servent_tooltip;Summon a servant.;;;;;;;;;;;;;;
